subject,count,published,unpublished,examples
"multi-device-workstations","6","5","1","[""Multiple Tablet Mount Solutions: Improving Device Organization in Modern Workspaces"",""Restaurant Tablet Mount: Why Modern Restaurants Need Organized Tablet Workstations"",""Best Restaurant Tablet Mount in 2026: POS Stands, Delivery App Stations, and Multi-Tablet Solutions Compared"",""How to Set Up Multiple Tablets for DoorDash, Uber Eats, and Grubhub"",""iBOLT Tablet Tower System Featured at National Restaurant Association Show 2026"",""iBOLT Tablet Tower System Featured at National Restaurant Association Show 2026""]"
"construction-work-trucks-field-service","5","5","0","[""Construction and Work Truck Phone Mounts"",""Best Rugged Tablet Mount for Field Service Vans"",""Best Tablet Mount for Utility Truck Crews"",""Best Drill Base Phone Mount for Construction Vehicles and Work Trucks"",""Best Phone Mount for Construction Vehicles and Work Trucks""]"
"cup-holder-console-mounts","5","0","5","[""Cup Holder Tablet Mounts: The No-Drill Solution for Work Vehicles"",""The Ultimate Guide to Mountable Cup Holders: Secure Drink Storage for Any Space"",""Mountable Cup Holder Solutions: Secure Your Drinks in Any Vehicle or Workspace"",""Mountable Cup Holder Solutions: The Complete Guide to Vehicle and Workspace Mounting"",""Complete Guide to Phone Holders: Suction Cup, Clamp, and Cup Holder Mounts for Every Need""]"
"offroad-jeep-utv-overlanding","5","5","0","[""Best Phone and Action Camera Mounts for UTV Trails, Jeeps, and Overlanding Rigs"",""Best Phone Mount for Jeep Wrangler Off-Road Trails"",""Best Tablet Mount for Overlanding Navigation"",""Best GoPro Mount for UTV Roll Bars"",""Mounts to take off-roading in your Jeep Wrangler""]"
"education-school-transportation","4","4","0","[""Best Tablet Mount for School Bus and Transportation Fleets"",""TOP TABLET STANDS FOR STUDENTS GOING BACK TO SCHOOL"",""THE BENEFITS OF GOING PAPERLESS IN SCHOOLS"",""IBOLT MOUNTS FOR BACK-TO-SCHOOL""]"
"cycling-bike-handlebar","3","2","1","[""Best Phone Mount for Exercise Bikes and Treadmills"",""BEST IBOLT MOUNTAIN BIKE PHONE AND ACTION CAMERA MOUNTS"",""Best Handlebar Mount Phone Solutions for Cyclists: A Complete Guide to Secure Smartphone Mounting""]"
"road-trip-backseat-travel","3","2","1","[""Best Nintendo Switch Headrest Mount for Road Trips"",""iBOLT Mounts for Road Trips"",""Stay Connected on the Go: The Top 5 Car Mount Tablet Holders from iBOLT""]"
"agriculture-tractor-farming","2","2","0","[""Best Tablet Mount for Tractor Cab Precision Agriculture"",""DO FARMERS USE TABLET MOUNTS? - WHAT TECH IS USED ON A FARM?- THE NEWEST AND COOLEST FARM TOOL""]"
"accessibility-wheelchair-aac","1","1","0","[""Best Wheelchair Tablet Mount for Communication Devices""]"
"kitchen-home-dashboard","1","1","0","[""5 USEFUL TABLET MOUNTS FOR YOUR KITCHEN""]"
"fitness-equipment-mounts","0","0","0","[]"
